Work Order ID,Description,Status,Work Group,Program,Report Date,Service Address,Completion Date,Duration (hours),Failure Class,Problem,Service Request ID,Work Order Priority,Council District,Fiscal Year,Valid Duration,Meets Standard
19-403702,"Tree Issue ROW/fallen tree/ 7309 SAFFRON ST,",Closed,SBO Trees,Forestry,11/05/2019 10:43:50 AM,7309 SAFFRON ST,11/05/2019 12:00:00 PM,1.269,ROW Trees,Investigate Work Request,CSR19-00425280,5,8,FY2020,1,1
19-403704,"Obstruction in /bushes/11700 GATLING GUN LN,",Closed,SBO Vegetation Management,Forestry,11/05/2019 11:28:46 AM,11514 GATLING GUN LN,01/11/2020 11:30:00 AM,1608.021,ROW Vegetation,Investigate Work Request,CSR19-00425370,2,8,FY2020,1,0
19-403705,"Alley & Unpaved Street Maintenance/vegetation/ 3307 HELMS ST,",Closed,SBO Trees,Forestry,11/05/2019 11:40:50 AM,3307 HELMS ST,12/12/2019 06:15:00 AM,882.569,ROW Trees,Investigate Work Request,CSR19-00425396,2,9,FY2020,1,0
19-403706,"Obstruction in ROW/vegetation/ W ELLIOTT ST & GUADALUPE ST,",Closed,SBO Tree Sidewalk Program,Forestry,11/05/2019 11:52:47 AM,214 W ELLIOTT ST,11/27/2019 09:15:00 AM,525.37,ROW Trees,Investigate Work Request,CSR19-00425426,2,4,FY2020,1,0
19-403709,Debris in Street/a/c unit/ BRODIE LN & W WILLIAM CANNON DR,Closed,SBO District South,District Maintenance,11/05/2019 12:28:49 PM,3501 1/2 W WILLIAM CANNON DR,11/05/2019 11:45:00 AM,-0.73,Street Surface Assets,Debris in Street,CSR19-00425499,2,8,FY2020,0,-1
19-403710,(obstruction)Tree Issue ROW---LIMB DIVERTING TRAFFIC---2923 E 16TH ST @ 1400 CLIFFORD AVE,"Work complete, Ready for QA (Quality Assurance)",SBO District Central,District Maintenance,11/05/2019 01:40:48 PM,2923 E 16TH ST,11/05/2019 02:30:00 PM,0.82,ROW Trees,Broken or Hanging Branch,CSR19-00425623,2,1,FY2020,1,1
19-403711,Debris in Street---TRASH BAGS---2500 S PLEASANT VALLEY RD,Closed,SBO District South,District Maintenance,11/05/2019 01:49:48 PM,2505 1/2 S PLEASANT VALLEY RD,11/05/2019 02:00:00 PM,0.17,Street Surface Assets,Debris in Street,CSR19-00425642,2,3,FY2020,1,1
19-403713,Obstruction in ROW/Grass/8501 Cross Park Dr.,Closed,SBO Vegetation Management,Forestry,11/05/2019 02:22:48 PM,8501 CROSS PARK DR,11/08/2019 11:19:23 AM,68.943,ROW Vegetation,Investigate Work Request,CSR19-00425705,2,1,FY2020,1,1
19-403716,Debris in Street/garbage/W 15th & Nueces St,Closed,SBO District North,District Maintenance,11/05/2019 02:55:47 PM,601 1/2 W 15TH ST,11/05/2019 05:45:00 PM,2.82,Street Surface Assets,Debris in Street,CSR19-00425754,2,9,FY2020,1,1
19-403718,Debris in Street---UNKNOWN SMALL ITEM---8213 SHOAL CREEK BLVD,Closed,SBO After Hours,District Maintenance,11/05/2019 03:07:49 PM,8213 SHOAL CREEK BLVD,11/05/2019 06:30:00 PM,3.37,Street Surface Assets,Debris in Street,CSR19-00425779,2,7,FY2020,1,1
